1094.82 1863.85      1093.81 1861.99      1.00918 1.85655
356.818 -16.494      356.774 -16.4692      0.0439776 -0.0252062
637.793 -723.766      637.896 -722.228      -0.102707 -1.53697
-267.131 1472.56      -265.911 1471.67      -1.21936 0.88749
915.084 1639.57      914.681 1638.05      0.402952 1.51428
943.339 911.659      943.031 911.522      0.30789 0.137092
1894.85 1389.93      1893.31 1388.76      1.54869 1.17738
1496.65 1446.16      1495.24 1445.17      1.40959 0.991673
-539.25 678.897      -537.656 679.464      -1.59303 -0.566421
589.699 1008.03      589.463 1007.11      0.23564 0.923961
309.593 560.083      310.143 560.292      -0.550247 -0.209302
619.324 -98.4817      619.211 -97.802      0.113242 -0.679237
699.614 1052.11      699.285 1052.08      0.322389 0.0217215
1700.81 602.466      1699.42 602.435      1.39279 0.0309215
686.898 564.74      687.209 564.831      -0.311255 -0.0915036
1091.89 812.116      1091.71 811.746      0.182332 0.369689
1156.96 698.737      1156.05 698.812      0.912574 -0.0752474
61.9772 1097.98      62.639 1096.9      -0.66147 1.07887
-132.268 657.733      -131.274 658.219      -0.993596 -0.487032
-273.961 1202.81      -273.039 1202.02      -0.921911 0.791337
343.365 894.602      343.239 894.117      0.126496 0.482255
258.341 208.831      258.302 209.337      0.0394447 -0.505204
-12.8333 888.738      -12.2366 888.725      -0.596641 0.0122686
-272.773 886.621      -271.899 886.152      -0.873977 0.46922
436.792 1429.32      436.546 1428.11      0.245431 1.20853
-620.984 1327.23      -619.623 1326.22      -1.36088 1.0101
29.9741 1364.12      30.4259 1362.9      -0.451698 1.22328
818.478 516.342      817.397 516.645      1.07841 -0.299062
715.338 660.158      715.202 660.102      0.135057 0.0562631
471.443 394.082      470.79 393.975      0.652932 0.108358
982.642 685.053      981.774 685.05      0.868237 0.00343431
310.733 1102.6      310.463 1102.22      0.269493 0.377989
825.027 1072.23      824.618 1071.86      0.408247 0.376839
256.921 -294.55      257.706 -293.597      -0.784926 -0.952387
869.899 563.271      869.994 562.905      -0.0973439 0.353764
702.02 531.641      701.841 531.817      0.179389 -0.176816
972.669 2011.08      972.115 2009.12      0.553551 1.95036
716.984 370.788      716.767 370.9      0.217063 -0.111678
-263.005 930.268      -261.871 929.53      -1.13332 0.737668
1326.86 1041.85      1325.7 1041.01      1.15731 0.848082
242.071 606.177      241.93 605.356      0.143541 0.820844
148.312 1127.01      148.905 1126.21      -0.592873 0.799769
811.968 787.702      811.667 787.419      0.300669 0.282837
391.514 1063.16      391.505 1062.45      0.00867909 0.70675
1244.47 533.788      1243.34 534.14      1.12256 -0.350046
620.351 594.691      620.377 594.463      -0.026275 0.227434
470.003 1787.1      469.818 1785.56      0.18552 1.53679
122.834 713.707      123.223 713.518      -0.389265 0.188819
843.372 510.131      843.311 510.155      0.060885 -0.0243732
505.351 998.297      505.057 997.984      0.295091 0.312909
421.986 568.537      421.921 568.619      0.0640936 -0.0838653
585.422 592.399      585.063 591.784      0.358367 0.614717
-484.671 318.185      -483.029 318.745      -1.6419 -0.559617
-230.478 1444.68      -229.642 1443.44      -0.83592 1.23656
-475.369 471.951      -474.164 471.897      -1.20499 0.0543957
605.218 957.584      604.775 957.613      0.44348 -0.0290832
-423.885 728.337      -422.784 728.284      -1.10082 0.052397
-529.063 558.038      -527.992 557.736      -1.07084 0.302046
-12.4389 126.855      -12.1084 127.521      -0.329863 -0.66627
-119.891 32.0862      -119.504 32.887      -0.388482 -0.803
1104.43 252.93      1103.59 252.97      0.838085 -0.0401074
999.892 659.573      999.231 659.744      0.661319 -0.170908
1177.37 233.557      1176.31 233.767      1.0669 -0.210566
1492.97 375.037      1491.71 375.863      1.25248 -0.826393
279.89 833.012      280.329 833.004      -0.43782 0.00747141
314.541 -397.149      315.03 -396.084      -0.488676 -1.06392
